Coor_ID, LON, LAT,FLAG,Moist,Ash,Avg Yield
2422,-77.1353,41.7626,"-77.1353, 41.7626",26.33440422,1.858824957,17.77376346
2423,-77.0548,41.7506,"-77.0548, 41.7506",24.35168155,0.729547336,16.5705356
2424,-76.8937,41.7265,"-76.8937, 41.7265",18.50742495,1.400295131,15.32429559
2425,-77.2321,41.715,"-77.2321, 41.715",21.21647471,1.717425929,17.02652291
2426,-77.071,41.6911,"-77.071, 41.6911",17.32599063,1.27726801,16.39788879
2427,-75.1115,41.5071,"-75.1115, 41.5071",23.1375664,0.170804268,0
2428,-75.1293,41.4479,"-75.1293, 41.4479",25.01457278,2.131487262,15.97305583
2429,-75.0673,41.3755,"-75.0673, 41.3755",27.43988153,2.025410166,14.78493198
2430,-74.9078,41.3489,"-74.9078, 41.3489",22.92539611,1.775618015,20.34954079
2431,-75.059,41.1257,"-75.059, 41.1257",35.19415645,0.105155122,16.39463699
2432,-74.9795,41.1124,"-74.9795, 41.1124",24.85716207,0.843713023,14.52604593
2433,-77.5817,40.716,"-77.5817, 40.716",23.02354141,0.494635541,17.36422051
2434,-77.6767,40.6682,"-77.6767, 40.6682",17.95142367,1.257179091,16.32751624
2435,-77.6922,40.6087,"-77.6922, 40.6087",22.90603172,1.255395799,18.99796246
2436,-77.5179,40.6449,"-77.5179, 40.6449",23.71132708,0.131041615,17.69065033
2437,-77.787,40.5608,"-77.787, 40.5608",20.87973198,3.870316758,16.72651629
2438,-77.7077,40.5493,"-77.7077, 40.5493",22.93870616,1.305595587,18.05045708
2439,-77.6284,40.5376,"-77.6284, 40.5376",19.08566538,0,16.34727689
2440,-77.7231,40.4898,"-77.7231, 40.4898",27.45590868,2.310571771,18.4080017
2441,-75.8334,40.7562,"-75.8334, 40.7562",26.82412235,0.739047804,17.26565898
2442,-75.9297,40.7097,"-75.9297, 40.7097",22.44068603,1.145772129,14.52935875
2443,-76.105,40.6757,"-76.105, 40.6757",24.42638869,2.06165876,16.5130486
2444,-76.0258,40.6631,"-76.0258, 40.6631",25.75920421,2.081427537,16.80948391
2445,-76.6134,40.6317,"-76.6134, 40.6317",17.50075661,1.593225787,16.08839345
2446,-76.2967,40.5822,"-76.2967, 40.5822",27.49905254,2.307020194,17.24540063
2447,-76.2176,40.5697,"-76.2176, 40.5697",17.81034115,1.377910193,13.776354
2448,-76.4715,40.5478,"-76.4715, 40.5478",19.62859182,0,16.40318569
2449,-77.2321,41.4059,"-77.2321, 41.4059",25.65625406,1.874385615,15.88639752
2450,-77.2482,41.3464,"-77.2482, 41.3464",29.01850938,2.400656766,17.40027296
2451,-77.0879,41.3225,"-77.0879, 41.3225",24.02110809,1.353832003,17.81766087
2452,-77.0079,41.3105,"-77.0079, 41.3105",7.793739221,0.964664222,12.51253678
2453,-76.7678,41.2742,"-76.7678, 41.2742",19.13268348,0,14.37433599
2454,-76.528,41.2374,"-76.528, 41.2374",18.39406067,0,16.33712525
2455,-77.1041,41.2631,"-77.1041, 41.2631",24.42649583,0.837582801,15.26633545
2456,-76.7842,41.2148,"-76.7842, 41.2148",18.43141644,0,17.38722645
2457,-76.8804,41.1676,"-76.8804, 41.1676",20.10993062,1.899071575,14.44152244
2458,-76.9765,41.1203,"-76.9765, 41.1203",17.95081445,2.672895133,16.45142237
2459,-76.3052,41.1409,"-76.3052, 41.1409",19.06211774,1.447601134,16.50317111
2460,-76.322,41.0816,"-76.322, 41.0816",20.65635181,0.992825475,14.79274775
2461,-76.5777,41.0594,"-76.5777, 41.0594",27.75284005,1.936108018,16.56269047
2462,-76.4184,41.0347,"-76.4184, 41.0347",17.33533575,1.590919764,17.24002695
2463,-76.2591,41.0098,"-76.2591, 41.0098",31.72468247,0,18.56216128
2464,-76.435,40.9754,"-76.435, 40.9754",24.78489709,1.759867272,16.82220488
2465,-76.3721,40.9036,"-76.3721, 40.9036",14.82269883,1.389018875,12.46917508
2466,-75.4569,41.1913,"-75.4569, 41.1913",26.43857318,1.632754587,24.37329814
2467,-75.3773,41.1783,"-75.3773, 41.1783",21.78756784,1.950748268,17.65746793
2468,-75.1385,41.1389,"-75.1385, 41.1389",21.92577281,1.177733819,17.66147375
2469,-75.3948,41.1191,"-75.3948, 41.1191",20.48857113,0,18.33964839
2470,-75.0768,41.0665,"-75.0768, 41.0665",30.98188078,0.996968564,18.72014777
2471,-75.2534,41.0337,"-75.2534, 41.0337",26.40676797,0.641416958,18.81012196
2472,-75.174,41.0206,"-75.174, 41.0206",14.65458882,0.970299224,8.876803498
